,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration,Work duration,Prov_ab,Employment Rate,Pct house over 30,region,Income
2469,22887,1,6,5,1,0,6,420,0,BC,59.6,20.7,British Columbia,69995.0
2470,22907,2,5,5,2,0,1,375,0,BC,59.6,20.7,British Columbia,69995.0
2471,22917,1,5,1,2,0,2,510,0,BC,59.6,20.7,British Columbia,69995.0
2472,22925,1,2,2,1,0,3,550,0,BC,59.6,20.7,British Columbia,69995.0
2473,22937,1,7,5,2,0,3,495,0,BC,59.6,20.7,British Columbia,69995.0
2474,22959,1,6,1,2,0,3,280,0,BC,59.6,20.7,British Columbia,69995.0
2475,22974,1,2,1,2,0,3,475,510,BC,59.6,20.7,British Columbia,69995.0
2476,22978,1,5,1,2,0,4,500,0,BC,59.6,20.7,British Columbia,69995.0
2477,22998,1,5,6,1,0,2,960,0,BC,59.6,20.7,British Columbia,69995.0
2478,23015,2,4,6,1,0,3,760,180,BC,59.6,20.7,British Columbia,69995.0
2479,23026,1,7,1,1,0,6,510,0,BC,59.6,20.7,British Columbia,69995.0
2480,23033,1,6,1,1,0,4,860,0,BC,59.6,20.7,British Columbia,69995.0
2481,23037,1,1,6,2,0,2,505,0,BC,59.6,20.7,British Columbia,69995.0
2482,23044,1,6,1,1,0,2,390,0,BC,59.6,20.7,British Columbia,69995.0
2483,23056,1,5,1,1,0,1,0,300,BC,59.6,20.7,British Columbia,69995.0
2484,23057,1,2,6,2,0,1,385,240,BC,59.6,20.7,British Columbia,69995.0
2485,23060,1,5,1,2,0,1,495,345,BC,59.6,20.7,British Columbia,69995.0
2486,23067,1,4,4,1,0,2,510,735,BC,59.6,20.7,British Columbia,69995.0
2487,23091,1,7,5,2,0,5,600,0,BC,59.6,20.7,British Columbia,69995.0
2488,23096,1,6,1,2,0,5,420,0,BC,59.6,20.7,British Columbia,69995.0
2489,23104,1,5,2,1,0,4,510,0,BC,59.6,20.7,British Columbia,69995.0
2490,23106,1,4,6,1,0,1,420,690,BC,59.6,20.7,British Columbia,69995.0
2491,23111,1,6,5,1,0,6,360,0,BC,59.6,20.7,British Columbia,69995.0
2492,23120,1,5,1,1,0,4,420,0,BC,59.6,20.7,British Columbia,69995.0
2493,23142,1,7,3,2,0,3,460,0,BC,59.6,20.7,British Columbia,69995.0
2494,23147,1,6,5,1,0,6,600,450,BC,59.6,20.7,British Columbia,69995.0
2495,23160,2,6,6,2,0,4,740,0,BC,59.6,20.7,British Columbia,69995.0
2496,23163,1,5,1,2,0,2,535,0,BC,59.6,20.7,British Columbia,69995.0
2497,23168,2,2,1,2,0,2,660,0,BC,59.6,20.7,British Columbia,69995.0
2498,23172,1,2,1,2,0,1,600,0,BC,59.6,20.7,British Columbia,69995.0
2499,23175,1,6,1,2,0,1,420,0,BC,59.6,20.7,British Columbia,69995.0
2500,23185,1,4,5,2,0,2,660,0,BC,59.6,20.7,British Columbia,69995.0
2501,23191,1,5,2,1,0,1,750,0,BC,59.6,20.7,British Columbia,69995.0
2502,23225,1,1,6,2,0,1,600,0,BC,59.6,20.7,British Columbia,69995.0
2503,23231,1,4,6,1,0,3,480,480,BC,59.6,20.7,British Columbia,69995.0
2504,23232,1,4,1,2,0,2,690,0,BC,59.6,20.7,British Columbia,69995.0
2505,23268,1,4,6,2,0,1,540,0,BC,59.6,20.7,British Columbia,69995.0
2506,23275,1,4,4,2,0,3,460,0,BC,59.6,20.7,British Columbia,69995.0
2507,23277,1,1,6,1,0,2,480,610,BC,59.6,20.7,British Columbia,69995.0
2508,23289,1,5,1,2,0,3,540,0,BC,59.6,20.7,British Columbia,69995.0
2509,23304,1,3,1,1,1,2,510,180,BC,59.6,20.7,British Columbia,69995.0
2510,23306,1,5,1,1,0,1,420,315,BC,59.6,20.7,British Columbia,69995.0
2511,23308,1,6,1,2,0,4,530,0,BC,59.6,20.7,British Columbia,69995.0
2512,23309,1,3,6,1,0,4,510,600,BC,59.6,20.7,British Columbia,69995.0
2513,23320,1,1,6,2,0,1,510,460,BC,59.6,20.7,British Columbia,69995.0
2514,23333,1,3,6,1,0,6,450,420,BC,59.6,20.7,British Columbia,69995.0
2515,23339,1,6,1,2,0,2,480,0,BC,59.6,20.7,British Columbia,69995.0
2516,23355,1,6,1,1,0,3,720,0,BC,59.6,20.7,British Columbia,69995.0
2517,23364,1,4,2,1,0,3,420,495,BC,59.6,20.7,British Columbia,69995.0
2518,23365,1,6,6,2,0,1,630,285,BC,59.6,20.7,British Columbia,69995.0
2519,23369,1,4,1,1,1,1,560,640,BC,59.6,20.7,British Columbia,69995.0
2520,23385,1,3,1,2,1,1,575,0,BC,59.6,20.7,British Columbia,69995.0
2521,23386,2,5,1,1,0,4,415,0,BC,59.6,20.7,British Columbia,69995.0
2522,23389,1,3,6,1,0,3,555,480,BC,59.6,20.7,British Columbia,69995.0
2523,23404,1,3,1,1,2,1,590,0,BC,59.6,20.7,British Columbia,69995.0
2524,23425,1,6,1,1,0,2,540,0,BC,59.6,20.7,British Columbia,69995.0
2525,23433,1,2,1,2,1,2,420,0,BC,59.6,20.7,British Columbia,69995.0
2526,23436,1,3,2,1,0,1,615,0,BC,59.6,20.7,British Columbia,69995.0
2527,23463,2,6,2,1,0,6,570,0,BC,59.6,20.7,British Columbia,69995.0
2528,23470,1,2,6,2,0,2,500,750,BC,59.6,20.7,British Columbia,69995.0
2529,23472,1,6,3,2,0,5,470,0,BC,59.6,20.7,British Columbia,69995.0
2530,23474,1,3,1,1,0,1,520,600,BC,59.6,20.7,British Columbia,69995.0
2531,23488,2,5,6,1,0,6,425,0,BC,59.6,20.7,British Columbia,69995.0
2532,23500,1,5,3,1,0,1,590,0,BC,59.6,20.7,British Columbia,69995.0
2533,23526,1,5,6,2,0,2,390,540,BC,59.6,20.7,British Columbia,69995.0
2534,23549,1,1,6,2,2,2,600,0,BC,59.6,20.7,British Columbia,69995.0
2535,23555,2,5,3,2,0,5,390,0,BC,59.6,20.7,British Columbia,69995.0
2536,23560,1,2,1,1,0,2,465,525,BC,59.6,20.7,British Columbia,69995.0
2537,23595,1,5,6,1,0,2,525,0,BC,59.6,20.7,British Columbia,69995.0
2538,23599,1,3,1,2,1,2,415,0,BC,59.6,20.7,British Columbia,69995.0
